Model, Log, Iteration, NofTraceToAlign, NofAlignmentValid, NofAlignmentOpen, NofAlignmentRejected, NofLeftOutTraces, NofSubnets, NofRecomposeActivities, NofBorderActivities
net2, net2-60-10, 59, 39, 23, 16, 0, 961, 13, 1, 30

net2, net2-60-60, 1, 1000, 383, 617, 0, 0, -1, -1, -1
net2, net2-60-60, 2, 398, 0, 398, 0, 602, 76, 1, 144
net2, net2-60-60, 3, 255, 0, 255, 0, 745, 73, 1, 140
net2, net2-60-60, 4, 377, 0, 377, 0, 623, 72, 1, 138
net2, net2-60-60, 5, 289, 0, 289, 0, 711, 71, 1, 135
net2, net2-60-60, 6, 250, 0, 250, 0, 750, 70, 1, 134
net2, net2-60-60, 7, 280, 0, 280, 0, 720, 69, 1, 133
net2, net2-60-60, 8, 288, 9, 279, 0, 712, 68, 1, 132
net2, net2-60-60, 9, 318, 0, 318, 0, 682, 67, 1, 131
net2, net2-60-60, 10, 303, 0, 303, 0, 697, 66, 1, 128
net2, net2-60-60, 11, 241, 0, 241, 0, 759, 65, 1, 127
net2, net2-60-60, 12, 341, 0, 341, 0, 659, 64, 1, 125
net2, net2-60-60, 13, 270, 0, 270, 0, 730, 63, 1, 124
net2, net2-60-60, 14, 215, 0, 215, 0, 785, 62, 1, 123
net2, net2-60-60, 15, 228, 0, 228, 0, 772, 61, 1, 122
net2, net2-60-60, 16, 301, 0, 301, 0, 699, 60, 1, 121
net2, net2-60-60, 17, 259, 0, 259, 0, 741, 59, 1, 119
net2, net2-60-60, 18, 286, 0, 286, 0, 714, 58, 1, 118
net2, net2-60-60, 19, 270, 0, 270, 0, 730, 57, 1, 117
net2, net2-60-60, 20, 193, 0, 193, 0, 807, 56, 1, 116

net3, net3-0-0, 1, 1000, 969, 31, 0, 0, -1, -1, -1
net3, net3-0-0, 2, 31, 31, 0, 0, 969, 74, 1, 143

net3, net3-10-10, 1, 1000, 880, 120, 0, 0, -1, -1, -1
net3, net3-10-10, 2, 33, 19, 14, 0, 967, 74, 1, 143
net3, net3-10-10, 3, 27, 0, 27, 0, 973, 72, 1, 141
net3, net3-10-10, 4, 15, 1, 14, 0, 985, 70, 1, 140
net3, net3-10-10, 5, 27, 1, 26, 0, 973, 69, 1, 137
net3, net3-10-10, 6, 31, 0, 31, 0, 969, 67, 2, 134
net3, net3-10-10, 7, 20, 0, 20, 0, 980, 66, 1, 131
net3, net3-10-10, 8, 35, 0, 35, 0, 965, 63, 3, 128
net3, net3-10-10, 9, 14, 1, 13, 0, 986, 62, 1, 127
net3, net3-10-10, 10, 11, 0, 11, 0, 989, 61, 1, 126
net3, net3-10-10, 11, 15, 0, 15, 0, 985, 60, 1, 123
net3, net3-10-10, 12, 40, 1, 39, 0, 960, 56, 4, 116
net3, net3-10-10, 13, 13, 1, 12, 0, 987, 55, 1, 115
net3, net3-10-10, 14, 12, 1, 11, 0, 988, 54, 1, 114
net3, net3-10-10, 15, 23, 1, 22, 0, 977, 52, 2, 110
net3, net3-10-10, 16, 14, 2, 12, 0, 986, 51, 1, 109
net3, net3-10-10, 17, 12, 0, 12, 0, 988, 50, 1, 108
net3, net3-10-10, 18, 27, 1, 26, 0, 973, 48, 2, 103
net3, net3-10-10, 19, 16, 0, 16, 0, 984, 47, 1, 102
net3, net3-10-10, 20, 9, 1, 8, 0, 991, 46, 1, 101
net3, net3-10-10, 21, 8, 0, 8, 0, 992, 45, 1, 100
